date,GSCPI
2015-08,-0.6895123863646098
2015-09,-0.4020380960420781
2015-10,-0.24615547975761137
2015-11,-0.649100877691472
2015-12,-0.607749180043151
2016-01,-0.8041596359773592
2016-02,-0.7576905447020873
2016-03,-0.659736602494206
2016-04,-0.2768878350992896
2016-05,-0.7166828673530207
2016-06,-0.2913950359436621
2016-07,-0.17341250875952513
2016-08,0.08891180871199336
2016-09,-0.2969691036879887
2016-10,-0.060727513897158594
2016-11,-0.3143124538629114
2016-12,-0.2256124406483824
2017-01,0.16644279103156723
2017-02,0.14896839311017324
2017-03,0.07767580450873397
2017-04,0.011783038324314472
2017-05,-0.1445763732713084
2017-06,0.08779640692211128
2017-07,0.09241869458598477
2017-08,0.39329483841538315
2017-09,0.5548201897367132
2017-10,0.7957669014503408
2017-11,0.8140002190094138
2017-12,0.6881592706872397
2018-01,0.5912731791882245
2018-02,0.06206875933246255
2018-03,0.4385318407169459
2018-04,0.5190247782716778
2018-05,0.37982271176147164
2018-06,0.43469080788005277
2018-07,0.44497629065559835
2018-08,0.5344544794205904
2018-09,0.4684274066777152
2018-10,0.5335075576159352
2018-11,0.4568576553452956
2018-12,0.4660184579057986
2019-01,0.5167077536367544
2019-02,0.144892336281757
2019-03,0.2143621339400501
2019-04,0.016146859602993835
2019-05,-0.6237912641324433
2019-06,-0.47010312063819576
2019-07,-0.45054068282381227
2019-08,-0.29030386855645407
2019-09,0.13223170160299208
2019-10,0.08959735127143852
2019-11,0.15195262803035225
2019-12,0.041817139378604755
2020-01,0.0595206090531259
2020-02,1.3050936379053257
2020-03,2.6729168474156197
2020-04,3.387152734683441
2020-05,2.573618421905214
2020-06,2.2672188327712943
2020-07,2.9752579814599343
2020-08,1.489917969251845
2020-09,0.629329163026461
2020-10,0.11324793825700873
2020-11,0.7811730831750936
2020-12,1.7208424055713394
2021-01,1.3728204390953436
2021-02,2.0040891672666814
2021-03,2.3324458448627863
2021-04,2.823524005064383
2021-05,3.1056270418213283
