Date,dwt_container
2003-04,6940.083333333333
2003-05,6940.083333333333
2003-06,6940.083333333333
2003-07,6940.083333333333
2003-08,6940.083333333333
2003-09,6940.083333333333
2003-10,6940.083333333333
2003-11,6940.083333333333
2003-12,6940.083333333333
2004-01,7635.083333333333
2004-02,7635.083333333333
2004-03,7635.083333333333
2004-04,7635.083333333333
2004-05,7635.083333333333
2004-06,7635.083333333333
2004-07,7635.083333333333
2004-08,7635.083333333333
2004-09,7635.083333333333
2004-10,7635.083333333333
2004-11,7635.083333333333
2004-12,7635.083333333333
2005-01,8352.166666666666
2005-02,8352.166666666666
2005-03,8352.166666666666
2005-04,8352.166666666666
2005-05,8352.166666666666
2005-06,8352.166666666666
2005-07,8352.166666666666
2005-08,8352.166666666666
2005-09,8352.166666666666
2005-10,8352.166666666666
2005-11,8352.166666666666
2005-12,8352.166666666666
2006-01,9391.833333333334
2006-02,9391.833333333334
2006-03,9391.833333333334
2006-04,9391.833333333334
2006-05,9391.833333333334
2006-06,9391.833333333334
2006-07,9391.833333333334
2006-08,9391.833333333334
2006-09,9391.833333333334
2006-10,9391.833333333334
2006-11,9391.833333333334
2006-12,9391.833333333334
2007-01,10693.416666666666
2007-02,10693.416666666666
2007-03,10693.416666666666
2007-04,10693.416666666666
2007-05,10693.416666666666
2007-06,10693.416666666666
2007-07,10693.416666666666
2007-08,10693.416666666666
2007-09,10693.416666666666
2007-10,10693.416666666666
2007-11,10693.416666666666
2007-12,10693.416666666666
2008-01,12054.583333333334
2008-02,12054.583333333334
2008-03,12054.583333333334
2008-04,12054.583333333334
2008-05,12054.583333333334
2008-06,12054.583333333334
2008-07,12054.583333333334
2008-08,12054.583333333334
2008-09,12054.583333333334
2008-10,12054.583333333334
2008-11,12054.583333333334
2008-12,12054.583333333334
2009-01,13493.25
2009-02,13493.25
2009-03,13493.25
2009-04,13493.25
2009-05,13493.25
2009-06,13493.25
2009-07,13493.25
2009-08,13493.25
2009-09,13493.25
2009-10,13493.25
2009-11,13493.25
2009-12,13493.25
2010-01,14096.5
2010-02,14096.5
2010-03,14096.5
2010-04,14096.5
2010-05,14096.5
2010-06,14096.5
2010-07,14096.5
2010-08,14096.5
2010-09,14096.5
2010-10,14096.5
2010-11,14096.5
2010-12,14096.5
2011-01,15307.583333333334
2011-02,15307.583333333334
2011-03,15307.583333333334
2011-04,15307.583333333334
2011-05,15307.583333333334
2011-06,15307.583333333334
2011-07,15307.583333333334
2011-08,15307.583333333334
2011-09,15307.583333333334
2011-10,15307.583333333334
2011-11,15307.583333333334
2011-12,15307.583333333334
2012-01,16401.75
2012-02,16401.75
2012-03,16401.75
2012-04,16401.75
2012-05,16401.75
2012-06,16401.75
2012-07,16401.75
2012-08,16401.75
2012-09,16401.75
2012-10,16401.75
2012-11,16401.75
2012-12,16401.75
2013-01,17193.5
2013-02,17193.5
2013-03,17193.5
2013-04,17193.5
2013-05,17193.5
2013-06,17193.5
2013-07,17193.5
2013-08,17193.5
2013-09,17193.5
2013-10,17193.5
2013-11,17193.5
2013-12,17193.5
2014-01,18016.583333333332
2014-02,18016.583333333332
2014-03,18016.583333333332
2014-04,18016.583333333332
2014-05,18016.583333333332
2014-06,18016.583333333332
2014-07,18016.583333333332
2014-08,18016.583333333332
2014-09,18016.583333333332
2014-10,18016.583333333332
2014-11,18016.583333333332
2014-12,18016.583333333332
2015-01,19019.166666666668
2015-02,19019.166666666668
2015-03,19019.166666666668
2015-04,19019.166666666668
2015-05,19019.166666666668
2015-06,19019.166666666668
2015-07,19019.166666666668
2015-08,19019.166666666668
2015-09,19019.166666666668
2015-10,19019.166666666668
2015-11,19019.166666666668
2015-12,19019.166666666668
2016-01,20361.583333333332
2016-02,20361.583333333332
2016-03,20361.583333333332
2016-04,20361.583333333332
2016-05,20361.583333333332
2016-06,20361.583333333332
2016-07,20361.583333333332
2016-08,20361.583333333332
2016-09,20361.583333333332
2016-10,20361.583333333332
2016-11,20361.583333333332
2016-12,20361.583333333332
2017-01,20473.583333333332
2017-02,20473.583333333332
2017-03,20473.583333333332
2017-04,20473.583333333332
2017-05,20473.583333333332
2017-06,20473.583333333332
2017-07,20473.583333333332
2017-08,20473.583333333332
2017-09,20473.583333333332
2017-10,20473.583333333332
2017-11,20473.583333333332
2017-12,20473.583333333332
2018-01,21136.083333333332
2018-02,21136.083333333332
2018-03,21136.083333333332
2018-04,21136.083333333332
2018-05,21136.083333333332
2018-06,21136.083333333332
2018-07,21136.083333333332
2018-08,21136.083333333332
2018-09,21136.083333333332
2018-10,21136.083333333332
2018-11,21136.083333333332
2018-12,21136.083333333332
2019-01,22177.416666666668
2019-02,22177.416666666668
2019-03,22177.416666666668
2019-04,22177.416666666668
2019-05,22177.416666666668
2019-06,22177.416666666668
2019-07,22177.416666666668
2019-08,22177.416666666668
2019-09,22177.416666666668
2019-10,22177.416666666668
2019-11,22177.416666666668
2019-12,22177.416666666668
2020-01,22920.083333333332
2020-02,22920.083333333332
2020-03,22920.083333333332
2020-04,22920.083333333332
2020-05,22920.083333333332
2020-06,22920.083333333332
2020-07,22920.083333333332
2020-08,22920.083333333332
2020-09,22920.083333333332
2020-10,22920.083333333332
2020-11,22920.083333333332
2020-12,22920.083333333332
2021-01,23521.333333333332
2021-02,23521.333333333332
2021-03,23521.333333333332
2021-04,23521.333333333332
2021-05,23521.333333333332
2021-06,23521.333333333332
2021-07,23521.333333333332
2021-08,23521.333333333332
2021-09,23521.333333333332
2021-10,23521.333333333332
2021-11,23521.333333333332
2021-12,23521.333333333332
2022-01,24524.25
2022-02,24524.25
2022-03,24524.25
2022-04,24524.25
2022-05,24524.25
2022-06,24524.25
2022-07,24524.25
2022-08,24524.25
2022-09,24524.25
2022-10,24524.25
2022-11,24524.25
2022-12,24524.25
2023-01,25638.416666666668
2023-02,25638.416666666668
2023-03,25638.416666666668
2023-04,25638.416666666668
2023-05,25638.416666666668
2023-06,25638.416666666668
2023-07,25638.416666666668
2023-08,25638.416666666668
2023-09,25638.416666666668
2023-10,25638.416666666668
2023-11,25638.416666666668
2023-12,25638.416666666668
2024-01,27630.583333333332
2024-02,27630.583333333332
2024-03,27630.583333333332
2024-04,27630.583333333332
2024-05,27630.583333333332
2024-06,27630.583333333332
2024-07,27630.583333333332
2024-08,27630.583333333332
2024-09,27630.583333333332
2024-10,27630.583333333332
2024-11,27630.583333333332
2024-12,27630.583333333332
2025-01,30313.25
2025-02,30313.25
2025-03,30313.25
2025-04,30313.25
2025-05,30313.25
2025-06,30313.25
2025-07,30313.25
2025-08,30313.25
2025-09,30313.25
2025-10,30313.25
2025-11,30313.25
2025-12,30313.25
