date,DWT_bulk
2012-07,52001.833333333336
2012-08,52001.833333333336
2012-09,52001.833333333336
2012-10,52001.833333333336
2012-11,52001.833333333336
2012-12,52001.833333333336
2013-01,57478.583333333336
2013-02,57478.583333333336
2013-03,57478.583333333336
2013-04,57478.583333333336
2013-05,57478.583333333336
2013-06,57478.583333333336
2013-07,57478.583333333336
2013-08,57478.583333333336
2013-09,57478.583333333336
2013-10,57478.583333333336
2013-11,57478.583333333336
2013-12,57478.583333333336
2014-01,60858.0
2014-02,60858.0
2014-03,60858.0
2014-04,60858.0
2014-05,60858.0
2014-06,60858.0
2014-07,60858.0
2014-08,60858.0
2014-09,60858.0
2014-10,60858.0
2014-11,60858.0
2014-12,60858.0
2015-01,63526.833333333336
2015-02,63526.833333333336
2015-03,63526.833333333336
2015-04,63526.833333333336
2015-05,63526.833333333336
2015-06,63526.833333333336
2015-07,63526.833333333336
2015-08,63526.833333333336
2015-09,63526.833333333336
2015-10,63526.833333333336
2015-11,63526.833333333336
2015-12,63526.833333333336
2016-01,64940.75
2016-02,64940.75
2016-03,64940.75
2016-04,64940.75
2016-05,64940.75
2016-06,64940.75
2016-07,64940.75
2016-08,64940.75
2016-09,64940.75
2016-10,64940.75
2016-11,64940.75
2016-12,64940.75
2017-01,66298.83333333333
2017-02,66298.83333333333
2017-03,66298.83333333333
2017-04,66298.83333333333
2017-05,66298.83333333333
2017-06,66298.83333333333
2017-07,66298.83333333333
2017-08,66298.83333333333
2017-09,66298.83333333333
2017-10,66298.83333333333
2017-11,66298.83333333333
2017-12,66298.83333333333
2018-01,68575.5
2018-02,68575.5
2018-03,68575.5
2018-04,68575.5
2018-05,68575.5
2018-06,68575.5
2018-07,68575.5
2018-08,68575.5
2018-09,68575.5
2018-10,68575.5
2018-11,68575.5
2018-12,68575.5
2019-01,70538.41666666667
2019-02,70538.41666666667
2019-03,70538.41666666667
2019-04,70538.41666666667
2019-05,70538.41666666667
2019-06,70538.41666666667
2019-07,70538.41666666667
2019-08,70538.41666666667
2019-09,70538.41666666667
2019-10,70538.41666666667
2019-11,70538.41666666667
2019-12,70538.41666666667
2020-01,73318.83333333333
2020-02,73318.83333333333
2020-03,73318.83333333333
2020-04,73318.83333333333
2020-05,73318.83333333333
2020-06,73318.83333333333
2020-07,73318.83333333333
2020-08,73318.83333333333
2020-09,73318.83333333333
2020-10,73318.83333333333
2020-11,73318.83333333333
2020-12,73318.83333333333
2021-01,76164.66666666667
2021-02,76164.66666666667
2021-03,76164.66666666667
2021-04,76164.66666666667
2021-05,76164.66666666667
2021-06,76164.66666666667
2021-07,76164.66666666667
2021-08,76164.66666666667
2021-09,76164.66666666667
2021-10,76164.66666666667
2021-11,76164.66666666667
2021-12,76164.66666666667
2022-01,78952.08333333333
2022-02,78952.08333333333
2022-03,78952.08333333333
2022-04,78952.08333333333
2022-05,78952.08333333333
2022-06,78952.08333333333
2022-07,78952.08333333333
2022-08,78952.08333333333
2022-09,78952.08333333333
2022-10,78952.08333333333
2022-11,78952.08333333333
2022-12,78952.08333333333
2023-01,81369.91666666667
2023-02,81369.91666666667
2023-03,81369.91666666667
2023-04,81369.91666666667
2023-05,81369.91666666667
2023-06,81369.91666666667
2023-07,81369.91666666667
2023-08,81369.91666666667
2023-09,81369.91666666667
2023-10,81369.91666666667
2023-11,81369.91666666667
2023-12,81369.91666666667
2024-01,83860.75
2024-02,83860.75
2024-03,83860.75
2024-04,83860.75
2024-05,83860.75
2024-06,83860.75
2024-07,83860.75
2024-08,83860.75
2024-09,83860.75
2024-10,83860.75
2024-11,83860.75
2024-12,83860.75
2025-01,86346.5
2025-02,86346.5
2025-03,86346.5
2025-04,86346.5
2025-05,86346.5
2025-06,86346.5
2025-07,86346.5
2025-08,86346.5
2025-09,86346.5
2025-10,86346.5
2025-11,86346.5
2025-12,86346.5
